"market_id","store_primary_category","order_protocol","total_items","subtotal","min_item_price","max_item_price","total_onshift_partners","total_busy_partners","total_outstanding_orders","created_day","created_holiday","created_at","actual_delivery_time","complaint","complaint_id"
"AREA B","japanese","Protocol 1",4,875,175,350,82.0,79.0,104,"Saturday","NO","05:04:03","05:38:01","",""
"AREA A","dessert","Protocol 1",5,5345,295,1995,50.0,51.0,68,"Friday","NO","02:27:48","03:15:36","",""
"AREA A","burger","Protocol 5",4,2150,50,1300,32.0,37.0,56,"Tuesday","NO","04:15:41","05:29:14","",""
"AREA A","thai","Protocol 5",5,3570,175,1195,61.0,61.0,73,"Sunday","NO","03:43:41","04:14:56","YES","0001"
"AREA D","dessert","Protocol 1",3,2485,295,1195,75.0,71.0,107,"Monday","NO","04:14:36","05:14:07","",""
"AREA A","american","Protocol 1",1,1150,1150,1150,21.0,19.0,25,"Monday","NO","21:48:11","22:45:50","",""
"AREA B","alcohol","Protocol 5",1,800,800,800,89.0,53.0,73,"Tuesday","NO","02:29:25","02:57:55","",""
"AREA B","pizza","Protocol 3",1,1735,1735,1735,94.0,96.0,163,"Tuesday","NO","02:35:51","03:12:44","",""
"AREA C","breakfast","Protocol 1",2,628,179,399,"","","","Sunday","NO","23:28:29","00:02:36","",""
"AREA E","dessert","Protocol 1",5,1685,195,380,16.0,12.0,12,"Wednesday","NO","00:10:27","00:56:44","",""
"AREA A","pizza","Protocol 1",1,1995,1995,1995,40.0,40.0,54,"Sunday","NO","05:02:32","05:36:21","",""
"AREA B","american","Protocol 4",1,3029,3029,3029,23.0,21.0,22,"Thursday","NO","05:44:13","06:26:48","",""
"AREA B","fast","Protocol 4",4,1300,200,390,136.0,107.0,185,"Monday","NO","02:39:28","03:38:42","YES","0002"
"AREA D","mediterranean","Protocol 3",2,1450,250,1200,17.0,17.0,19,"Saturday","NO","23:34:35","00:06:12","",""
"AREA B","pizza","Protocol 3",2,3490,1335,1970,113.0,77.0,172,"Saturday","NO","01:55:10","02:59:55","YES","0003"
"AREA E","mexican","Protocol 3",1,1295,1295,1295,15.0,10.0,10,"Tuesday","NO","19:18:07","19:37:29","YES","0004"
"AREA B","mexican","Protocol 2",3,1200,400,400,22.0,24.0,27,"Thursday","NO","22:58:48","23:32:16","YES","0005"
"AREA A","american","Protocol 5",2,2075,950,1125,55.0,51.0,54,"Wednesday","NO","03:19:13","03:52:32","",""
"AREA A","pizza","Protocol 3",3,3756,549,1999,0.0,0.0,0,"Saturday","NO","00:30:33","01:22:46","",""
"AREA A","seafood","Protocol 1",2,3700,1600,2100,30.0,32.0,32,"Thursday","NO","03:11:16","04:08:59","",""
"AREA D","mexican","Protocol 3",1,900,650,650,45.0,39.0,38,"Friday","NO","20:53:18","21:13:14","",""
"AREA B","asian","Protocol 1",5,4781,449,1533,109.0,132.0,147,"Sunday","NO","02:54:37","03:38:03","YES","0006"
"AREA D","indian","Protocol 3",4,2796,199,1199,79.0,78.0,137,"Monday","NO","02:06:10","03:26:05","",""
"AREA F","cafe","Protocol 4",1,275,175,175,"","","","Tuesday","NO","16:53:27","17:40:06","",""
"AREA E","indian","Protocol 3",6,2697,100,899,18.0,16.0,26,"Monday","NO","02:02:47","02:49:03","YES","0007"
"AREA F","chinese","Protocol 3",1,695,695,695,"","","","Friday","NO","20:45:53","21:20:07","YES","0008"
"AREA D","sushi","Protocol 3",4,5265,400,1800,70.0,97.0,86,"Monday","YES","01:59:32","02:45:19","YES","0009"
"AREA E","indian","Protocol 2",3,1985,595,795,10.0,9.0,8,"Wednesday","NO","05:33:32","06:01:05","",""
"AREA D","salad","Protocol 2",3,3499,521,795,33.0,33.0,53,"Monday","NO","21:49:52","22:54:32","YES","0010"
"AREA B","pizza","Protocol 2",1,2395,899,899,59.0,40.0,44,"Friday","NO","21:52:28","22:20:05","",""
"AREA B","italian","Protocol 1",3,2037,339,1049,97.0,78.0,102,"Thursday","NO","01:46:41","02:40:49","",""
"AREA C","chinese","Protocol 4",1,1110,910,910,1.0,1.0,1,"Monday","YES","23:07:09","23:43:00","",""
"AREA A","italian","Protocol 5",2,5600,2200,3400,40.0,44.0,63,"Thursday","NO","01:57:35","02:32:40","",""
"AREA D","catering","Protocol 3",2,2400,1000,1400,97.0,89.0,164,"Thursday","NO","01:58:40","02:42:07","",""
"AREA B","middle-eastern","Protocol 3",2,1840,817,948,33.0,38.0,28,"Saturday","NO","18:54:47","19:32:08","",""
"AREA B","italian","Protocol 3",2,5597,999,2199,88.0,74.0,95,"Saturday","NO","01:28:42","02:35:08","",""
"AREA D","pizza","Protocol 1",2,1548,149,1399,55.0,51.0,66,"Tuesday","NO","03:24:02","03:59:27","YES","0011"
"AREA B","dessert","Protocol 3",7,11900,900,3100,117.0,94.0,156,"Saturday","NO","02:05:24","03:06:42","YES","0012"
"AREA A","italian","Protocol 1",2,3890,1395,2495,0.0,0.0,0,"Wednesday","NO","04:20:16","04:59:00","",""
"AREA F","pizza","Protocol 1",1,2650,1900,1900,"","","","Sunday","NO","00:29:40","01:22:37","",""
"AREA E","american","Protocol 1",4,2016,199,749,19.0,15.0,15,"Saturday","NO","20:52:23","21:19:50","YES","0013"
"AREA B","pizza","Protocol 1",4,3585,185,1525,108.0,85.0,124,"Wednesday","NO","03:04:09","03:57:30","YES","0014"
"AREA A","chinese","Protocol 4",1,942,942,942,17.0,13.0,12,"Thursday","NO","22:22:30","22:45:38","",""
"AREA B","pasta","Protocol 3",4,2982,352,944,60.0,54.0,85,"Tuesday","NO","01:11:12","02:08:33","",""
"AREA D","malaysian","Protocol 1",6,5170,695,895,72.0,42.0,71,"Friday","NO","03:07:23","03:42:09","",""
"AREA B","dessert","Protocol 1",2,3490,1495,1995,31.0,30.0,52,"Sunday","NO","04:56:30","06:00:28","",""
